Day,Pixels,Canopy Area,% Growth,Outliers,Cut-Off
0,1022429,1486,0.760534114,,
1,1022397,1518,0.776911699,,
2,1023915,0,0,,
3,1023715,200,0.102359908,,
4,1020659,3256,1.666419297,,
5,1017922,5993,3.067214633,,
6,1016881,7034,3.599997953,,
7,1016119,7796,3.989989201,,
8,1019505,4410,2.257035964,,
9,1019633,4282,2.191525623,,
10,1003945,19970,10.22063678,,
11,1012548,11367,5.817625353,,
12,1008489,15426,7.895019679,,
13,1008612,15303,7.832068335,,
14,992191,31724,16.23632855,,
15,996401,27514,14.0816525,,
16,979271,44644,22.84877859,,
17,969756,54159,27.7185512,,
18,940361,83554,42.76289863,,
19,956894,67021,34.30131686,,
20,911441,112474,57.56414128,,
21,892700,131215,67.15577643,,
22,858324,165591,84.74939736,,
23,828526,195389,100,,
