File name,Minimum threshold,Area,% Growth
0,23,0,0
1,24,0,0
2,27,0,0
3,46,421,0.192136549
4,46,6423,2.931337426
5,46,6129,2.797161308
6,31,8287,3.782032266
7,46,8773,4.003833603
8,46,7318,3.339798736
9,31,14946,6.821075691
10,46,24021,10.96273646
11,46,13297,6.068502841
12,46,17314,7.901786733
13,46,23866,10.89199735
14,46,35393,16.1527052
15,46,43250,19.73849349
16,46,51782,23.63233918
17,46,61543,28.08707756
18,46,89778,40.97300504
19,46,94700,43.21931406
20,46,131388,59.96303311
21,46,151895,69.3220455
22,46,189638,86.54724688
23,46,219115,100
