Date,Area,Mean,Min,Max,Canopy,% Growth,Outliers,Cut-Off
9-Mar,1020557,0,0,0,2759,0.004190818,,
11-Mar,1023316,0,0,0,0,0,,
12-Mar,1018406,0,0,0,4910,0.007458107,,
13-Mar,1010873,0,0,0,12443,0.018900453,,
14-Mar,1005457,0,0,0,17859,0.027127155,,
15-Mar,1014345,0,0,0,8971,0.013626615,,
16-Mar,1012944,0,0,0,10372,0.015754681,,
17-Mar,1009717,0,0,0,13599,0.020656374,,
18-Mar,981013,0,0,0,42303,0.06425668,,
19-Mar,999307,0,0,0,24009,0.036468776,,
20-Mar,986719,0,0,0,36597,0.055589479,,
21-Mar,959282,0,0,0,64034,0.097265259,,
22-Mar,912396,0,0,0,110920,0.168483346,,
23-Mar,897220,0,0,0,126096,0.191535124,,
24-Mar,878373,0,0,0,144943,0.220163015,,
25-Mar,734706,0,0,0,288610,0.438387834,,
26-Mar,702005,0,0,0,321311,0.488059434,,
27-Mar,662899,0,0,0,360417,0.547459991,,
28-Mar,680882,0,0,0,342434,0.520144484,,
29-Mar,615138,0,0,0,408178,0.62000717,,
30-Mar,568391,0,0,0,454925,0.69101412,,
31-Mar,507806,0,0,0,515510,0.783040477,,
1-Apr,512294,0,0,0,511022,0.776223373,,
2-Apr,547520,0,0,0,475796,0.722716391,,
3-Apr,588550,0,0,0,434766,0.660393351,,
4-Apr,669272,0,0,0,354044,0.537779641,,
5-Apr,597010,0,0,0,426306,0.647542926,,
6-Apr,466477,0,0,0,556839,0.845817688,,
7-Apr,445240,0,0,0,578076,0.8780759,,
8-Apr,364972,0,0,0,658344,1,,
