Day,Minimum threshold,Area,% Growth,,,
0,11,0,0,,,
2,16,1859,0.332923223,,,
3,16,6374,1.14150222,,,
4,16,10737,1.922859952,,,
5,16,15441,2.765286441,,,
6,16,8846,1.584205936,,,
7,16,15493,2.774598979,,,
8,16,25268,4.525176983,,,
9,16,38290,6.857251333,,,
10,16,53573,9.594241986,,,
11,16,69769,12.49473931,,,
12,16,94511,16.92571639,,,
13,16,101339,18.14852423,,,
14,16,140647,25.1880864,,,
15,16,218666,39.16029564,,,
16,16,288364,51.64231975,,,
17,16,344252,61.65114876,,,
18,16,359854,64.44526825,,,
19,16,323852,57.99776857,,,
20,16,385287,68.99999463,,,
21,16,508690,91.09990025,,,
22,16,558387,100,,,
,,,,23,16,499043
,,,,24,16,451420
,,,,25,16,422620
,,,,26,16,401632
,,,,27,16,413649
,,,,28,16,542883
,,,,29,16,634814
,,,,30,16,656947
