Day,Pixels,Canopy Area,% Growth,Outliers,Cut-Off,,
0,1011374,12415,2.553612493,,,,
2,1023789,0,0,,,,
3,1016477,7312,1.503988284,,,,
4,1011760,12029,2.47421705,,,,
5,1010012,13777,2.833759107,,,,
6,1018324,5465,1.124083147,,,,
7,1016659,7130,1.466553127,,,,
8,1014113,9676,1.990233949,,,,
9,1008350,15439,3.175612024,,,,
10,991329,32460,6.67662195,,,,
11,978956,44833,9.22159556,,,,
12,968390,55399,11.39489154,,,,
13,951179,72610,14.93498213,,,,
14,934105,89684,18.4468935,,,,
15,886682,137107,28.20122014,,,,
16,911811,111978,23.03249454,,,,
17,884144,139645,28.72325546,,,,
18,861674,162115,33.34505753,,,,
19,764223,259566,53.38952721,,,,
20,703487,320302,65.88217387,,,,
21,809873,213916,43.99988481,,,,
22,537615,486174,100,,,,
,,,,,,23,453248
,,,,,,24,410417
,,,,,,25,601950
,,,,,,26,391223
,,,,,,27,398417
,,,,,,28,368221
,,,,,,29,381519
,,,,,,30,448663
