Day,Minimum threshold,Area,% Growth,,,
0,14,0,0,,,
2,16,961,0.174004994,,,
3,16,8188,1.482573246,,,
4,16,14883,2.694814072,,,
5,16,21228,3.843681591,,,
6,16,8682,1.572020142,,,
7,16,12572,2.27636918,,,
8,16,18497,3.349188731,,,
9,16,27602,4.997800041,,,
10,16,38353,6.944446959,,,
11,16,53617,9.708247402,,,
12,16,66524,12.04527389,,,
13,16,85093,15.40749942,,,
14,16,108329,19.61476272,,,
15,16,161952,29.32409652,,,
16,16,196172,35.52019526,,,
17,16,239640,43.39079783,,,
18,16,300350,54.38335056,,,
19,16,285893,51.76567086,,,
20,16,362036,65.55262429,,,
21,16,415451,75.22429624,,,
22,16,552283,100,,,
,,,,23,16,636882
,,,,24,16,676888
,,,,25,16,698144
,,,,26,16,677385
,,,,27,16,719655
,,,,28,16,789861
,,,,29,16,801920
,,,,30,16,834533
